filing_uuid,dt_posted,client.id,Client Name,Client State,Entity Name,Entity Contribution,entity.ownership_percentage,entity.address,entity.city,entity.state,Entity Country,Country Full Name
7961e2ca-ea95-4273-88f1-4aaf821e3c0c,2021-10-26T20:27:14Z,197771,"GREYHOUND LINES, INC.",TX,FIRST GROUP PLC,0,100,37 N Wharf Road,London,,GB,UNITED KINGDOM
bd0119f4-6837-473b-9cc1-995a35a8479d,2021-10-25T20:57:36Z,212474,GLOBAL LASER ENRICHMENT LLC,NC,CAMECO CORPORATION,0,49,2121 11th Street West,Saskatoon,SK,CA,CANADA
bd0119f4-6837-473b-9cc1-995a35a8479d,2021-10-25T20:57:36Z,212474,GLOBAL LASER ENRICHMENT LLC,NC,SILEX,0,51,New Illawarra Road,Lucas Heights,,AU,AUSTRALIA
0af36a8e-5954-4bba-894b-fef7d9b9cb04,2021-10-21T14:22:03Z,212461,NATURGY CANDELA DEVCO LLC,CA,"NATURGY ENERGY GROUP, S.A.",0,99,"Avenida de San Luis, 77. 28033",Madrid,,ES,SPAIN
a425ec72-21d3-4569-a35b-7c4399fc27a4,2021-10-21T13:37:42Z,212462,JAPAN SECURITIES CLEARING CORPORATION,,"JAPAN EXCHANGE GROUP, INC.",0,84,2-1 Nihombashi Kabutocho,"Chuo-ku, Tokyo",,JP,JAPAN
6ca578f8-2cee-4416-8b7a-758a62163aaa,2021-10-21T00:37:42Z,134605,"NAVISTAR, INC.",IL,PORSCHE AUTOMOBIL,0,31,Porscheplatz 1 70435,Stuttgart,,DE,GERMANY
6ca578f8-2cee-4416-8b7a-758a62163aaa,2021-10-21T00:37:42Z,134605,"NAVISTAR, INC.",IL,TRATON SE,0,100,"Dachauer Str. 641, 80995",Munchen,,DE,GERMANY
6ca578f8-2cee-4416-8b7a-758a62163aaa,2021-10-21T00:37:42Z,134605,"NAVISTAR, INC.",IL,VOLKSWAGEN AG,0,100,"Berliner Ring 2, 38440",Wolfsburg,,DE,GERMANY
9c2dd957-816f-43e8-9009-f5ac7e09d108,2021-10-20T19:15:42Z,212444,SOLVE.CARE USA INC.,DE,SOLVE.CARE FOUNDATION,15000,100,Narva mnt 5,Tallinn 10117 Harjumaa,,EE,ESTONIA
db5d5592-499b-44ec-9899-0d26a7b3a84d,2021-10-20T17:13:32Z,212402,VIKING RIVER CRUISES,CA,VIKING CRUISES LTD.,0,100,"Schaferweg 20, 4057",Basel,,CH,SWITZERLAND
e93df609-0a69-469a-bf61-a810305a4480,2021-10-20T01:01:01Z,120775,MAGSEIS FF LLC,TX,MAGSEISFAIRFIELD ASA,0,100,Strandveien 50 N-1366 Lysaker,Oslo,,NO,NORWAY
5ea95c6b-0275-448f-848b-7fe922c88fe1,2021-10-19T20:04:58Z,212380,"LOUISIANA ENERGY SERVICES, LLC",NM,URENCO LTD,0,100,"Urenco Ct. Sefton Park, Bells Hills",Buckingham,,GB,UNITED KINGDOM
28189d6e-f27c-4662-902f-a543e81e4bbc,2021-10-19T19:07:07Z,209259,ALABAMA EXPORT RAILROAD,MS,CANADIAN NATIONAL RAILROAD,0,33,935 de La Gaucheti'ere Street West,Montreal,QC,CA,CANADA
